INFO dasl_sync Starting DASL -> BigQuery pipeline (base URL: https://daslwebapi.azurewebsites.net)
INFO dasl_sync Loading years: [2024, 2025, 2026]
INFO dasl_sync Finished school 001f400000EnXul: running fact_rows=478720
INFO dasl_sync Finished school 001f400000EnXsw: running fact_rows=484330
INFO dasl_sync Finished school 001f400000EnXvj: running fact_rows=484330
INFO dasl_sync Finished school 001f400000EnXtl: running fact_rows=486200
INFO dasl_sync Finished school 001f400000EnXuk: running fact_rows=491810
INFO dasl_sync Finished school 001f400000EnXuA: running fact_rows=491810
INFO dasl_sync API calls: 15300 (errors: 0). Fact rows: 491810
INFO dasl_sync Replacing dasl-493214.dasl.dim_school with 204 rows
INFO dasl_sync Replacing dasl-493214.dasl.dim_variable with 4503 rows
INFO dasl_sync Replacing dasl-493214.dasl.dim_lookup with 254 rows
INFO dasl_sync Deleting existing fact rows for 612 slices
INFO dasl_sync Appending 491810 rows to dasl-493214.dasl.fact_school_data
INFO dasl_sync Creating view dasl-493214.dasl.vw_school (26 columns)
INFO dasl_sync Creating view dasl-493214.dasl.vw_students (295 columns)
INFO dasl_sync Creating view dasl-493214.dasl.vw_admission_and_attrition (108 columns)
INFO dasl_sync Creating view dasl-493214.dasl.vw_tuition_and_fees (595 columns)
INFO dasl_sync Creating view dasl-493214.dasl.vw_financial_aid (116 columns)
INFO dasl_sync Creating view dasl-493214.dasl.vw_advancement (69 columns)
INFO dasl_sync Creating view dasl-493214.dasl.vw_employee_and_board_information (98 columns)
INFO dasl_sync Creating view dasl-493214.dasl.vw_employee_benefits_and_salary (71 columns)
INFO dasl_sync Creating view dasl-493214.dasl.vw_teacher_salaries (66 columns)
INFO dasl_sync Creating view dasl-493214.dasl.vw_administrator_information (237 columns)
INFO dasl_sync Creating view dasl-493214.dasl.vw_executive_compensation (120 columns)
INFO dasl_sync Creating view dasl-493214.dasl.vw_financial_operations (69 columns)
INFO dasl_sync Pipeline summary: {'years': [2024, 2025, 2026], 'schools_total': 205, 'schools_mapped': 204, 'variables': 4503, 'variables_with_data': 1870, 'lookup_groups': 26, 'fact_rows': 491810, 'api_calls': 15300, 'api_errors': 0, 'views_created': ['dasl-493214.dasl.vw_school', 'dasl-493214.dasl.vw_students', 'dasl-493214.dasl.vw_admission_and_attrition', 'dasl-493214.dasl.vw_tuition_and_fees', 'dasl-493214.dasl.vw_financial_aid', 'dasl-493214.dasl.vw_advancement', 'dasl-493214.dasl.vw_employee_and_board_information', 'dasl-493214.dasl.vw_employee_benefits_and_salary', 'dasl-493214.dasl.vw_teacher_salaries', 'dasl-493214.dasl.vw_administrator_information', 'dasl-493214.dasl.vw_executive_compensation', 'dasl-493214.dasl.vw_financial_operations']}
SUMMARY: {'years': [2024, 2025, 2026], 'schools_total': 205, 'schools_mapped': 204, 'variables': 4503, 'variables_with_data': 1870, 'lookup_groups': 26, 'fact_rows': 491810, 'api_calls': 15300, 'api_errors': 0, 'views_created': ['dasl-493214.dasl.vw_school', 'dasl-493214.dasl.vw_students', 'dasl-493214.dasl.vw_admission_and_attrition', 'dasl-493214.dasl.vw_tuition_and_fees', 'dasl-493214.dasl.vw_financial_aid', 'dasl-493214.dasl.vw_advancement', 'dasl-493214.dasl.vw_employee_and_board_information', 'dasl-493214.dasl.vw_employee_benefits_and_salary', 'dasl-493214.dasl.vw_teacher_salaries', 'dasl-493214.dasl.vw_administrator_information', 'dasl-493214.dasl.vw_executive_compensation', 'dasl-493214.dasl.vw_financial_operations']}
