varId,subCategoryId,applies_to_tabs,category,subcategory,section,question,label,dataType,lookupGroupId,associationSpecific
14324,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 3: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 3: Total Boarding,integer,,False
1459,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 3: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 3: Total,integer,,False
14325,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 4: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 4: Day,integer,,False
14326,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 4: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 4: 5-Day Boarding,integer,,False
14327,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 4: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 4: 7-Day Boarding,integer,,False
14328,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 4: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 4: Total Boarding,integer,,False
1460,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 4: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 4: Total,integer,,False
14329,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 5: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 5: Day,integer,,False
14330,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 5: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 5: 5-Day Boarding,integer,,False
14331,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 5: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 5: 7-Day Boarding,integer,,False
14332,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 5: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 5: Total Boarding,integer,,False
1461,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 5: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 5: Total,integer,,False
14333,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 6: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 6: Day,integer,,False
14334,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 6: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 6: 5-Day Boarding,integer,,False
14335,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 6: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 6: 7-Day Boarding,integer,,False
14336,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 6: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 6: Total Boarding,integer,,False
1462,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 6: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 6: Total,integer,,False
14337,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 7: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 7: Day,integer,,False
14338,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 7: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 7: 5-Day Boarding,integer,,False
14339,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 7: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 7: 7-Day Boarding,integer,,False
